,source,edge,target
8419,limited tax liability,checked to,double taxation agreement
8420,limited tax who,letters,former Federal Germany
8425,Further  information,found in,former GDR v
8430,double taxation agreements,remain in,former  December
8431,double taxation agreements,include,natural member Comecon
8432,overview,attached as,1990  Appendix
8433,double taxation agreements,apply in,1 accession 1
8435,who,regulate,49 tax EStG
8436,double taxation income,is,tax base
8437,domestic tax offsetting,based on,34 Taxation Guidelines v
8439,double taxation agreement,.,different  regulation
8442,income,counts as,also Federal income
8443,same time which,Calculation of,provisions
8444,Income Tax submission,is sufficient,annual  declaration
8445,This,means,that
8446,full time income,summarized in,commercial income tax operations
8447,When  determining,made,also income type
8448,annual  returns,noted,50  cent
8449,contributions,claimed,extraordinary tax burdens
8450,privileged  freelancers,pay special,special  expenses
8451,they,deducted,30 lump %
8453,total income income,used as,starting point
8454,taxable  income,added from,annual  returns
8455,income tax,calculated on,taxable tax way
8456,trade tax,noted,separately business enterprise
8457,annual time returns,submitted,same time time
8458,second income this,declared in,annual  craftsmen
8459,statements,apply,accordingly  losses
8460,taxable  it,noted,50  cent
8461,contributions,deducted,extraordinary tax burdens
8462,possible  amounts,used for,legal  activities
8463,privileged  freelancers,pay special,special  expenses
8464,they,deducted,30 lump %
8466,pro rata income,taken into,respective  income
8467,1423  Determination,return,full time activity
8469,24 wage income employer,is,wages
8471,special taxation rules,included,groups
8472,wage income,included in,annex wage income
8473,taxable  income,transferred to,60 annex wage income
8474,1433 tax rate,is,rate table C.
8478,Line,L,9 annex wage income
8479,tax rate,determined,rate table C
8481,total tax rate,applied to,full time employment
8482,annual Appendix calculation,transferred from,annual Appendix return
8483,64 wage income,are,annual Appendix return
8484,tax rate,determined according,taxable rate table C
8485,tax rate,applied to,secondary  occupation
8486,then  calculation,included in,main  occupation
8487,calculated tax rate,is,main  occupation
8488,Income tax,calculated in,further calculation steps
8489,annual part time declaration,submitted for,24/23 part time activity
8490,annual income tax,calculated,annual  return
8491,annual  declaration,transferred,annual summary declaration
8492,additional  income,added,previous  subtotal
8493,4 DB zum that,offset against,positive  income
8495,12 tax exemption,applied to,total part time income
8496,tax exemption,noted,always  income
8499,AV 24/23,Form,24 wage income
8500,taxable  income,determined,annual  returns
8501,It,noted,50  cent
8502,contributions,reduce,only tax income
8503,privileged  freelancers,pay special,special  expenses
8504,they,deducted,30 lump %
8507,1433 trade it,noted,1433 trade tax
8508,also trade tax section,determined for part,respective  declaration
8509,12  that,is,full time activity
8510,tax exemption,granted,independent freelance work
8511,part time job,excludes,DB  StÄG
8512,time time component,taken into,also  account
8513,full  taxpayer,is,working  activity
8514,taxable  this,considered full,full tax purposes
8515,annual  group,received,part time workers
8516,other  activity,treated as,longer part time activity
8517,other  activities,are,unemployment benefit
8518,This,leads in,fact
8519,Pensioners,receive,free unemployment allowance
8520,1990 calendar they,receive,1 tax StÄG
8521,taxable  income,included in,full time income
8523,together part taxes,are in,full time activity
8524,secondary  postings,transferred to,main tax occupation
8525,tax number,deleted,secondary  occupation
8526,assessment,apply,trade capital
8527,also  that,applies to,owned Treuhandgesetz v
8528,17  6,are taxable,1  7
8529,determined unit value,is decisive,trade capital
8530,1 unit value,determined for,business assets
8531,taxpayer,dispensed with,rata trade tax
8532,Profits,are,13 Taxation Guidelines
8536,commission who,For,KHStVO v
8541,trade tax liability,begins on,same 7 craft
8542,who,are,wealth 1990
8545,owned  businesses,converted into,1990  BC
8547,owned  that,for,Treuhandgesetz v
8548,6  1990,considered,AG
8549,2nd tax this,offset against other,annual  return
8551,annual commission it,noted,3  Paragraph
8553,taxable business assets,given,land
8554,Corporate income tax,see,annual tax return
8555,following  deviations,v,social  organizations
8558,1  7,.,financial law provisions
8562,4,named social,general tax regulations
8566,Credit unions,are,general  July
8568,7,.,4  II
8569,profit tax,290 with,basic tax tariff StÄG
8570,economic  that,begins,economic  activity
8571,tax liability,see,working  GDR
8574,1991 BMF I,S,3 BMF May
8575,tax capital tax,are,contrary calculation regulation VEB
8576,annual  that,converted to,Treuhandgesetz v
8577,17  6,emerged from,2 Ordinance v
8582,Distributions,are,reduced distribution rate
8583,corporate tax rate,is,limited corporation tax liability
8584,unlimited corporation tax,is,unlimited tax liability
8585,assessment basis,is,i.e. capital gains tax
8588,85 cash which,portion of,36 tax %
8589,income amount,tax,36 corporation cent
8592,1990  that,BRD,1991
8593,unlimited accession who,levy,unlimited tax liability
8595,withheld capital gains that,is,3 DB zum StÄG
8597,172 Production taxation,according to,first Tax Act v
8599,general tax regulations,are decisive,second  1990
8600,successor company,issue,annual  corporations
8602,This,applies in,registered  cooperative
8603,first  taxation,based on general,general PGH tax conversion
8604,only profit tax profit,is,special  §
8606,half  PGH,is,1990
8607,remaining  loss,carried,forward 10d EStG BRD
8609,PGH,make,first accumulation 1990
8610,net  that,receive,previous tax breaks
8612,compensation,granted by,tax December
8613,individual  it,is,tax rate
8614,Claims,devalued in,first  2
8615,181 assessment basis,surcharge,delay surcharge
8618,uniformly  portion,halved,first tax year
8619,Thereafter  percentage,is,second tax 1990
8620,total  results,determined for,late  most
8621,later  change,leads to,10 tax percent
8622,late  surcharge,limit,reduced tax rate
8623,certain tax this,set in,tax future
8624,determination,be within,first  delay
8625,account,estimated for,also accounting section
8626,lowest  EAA,is,EAA  field
8627,also  that,Sending of,cooperating spouse
8628,taxes,are,summarized  owner
8629,notification,is,spouses
8631,operating  spouse,want,other  reasons
8632,duplicate,are necessary,operating tax assessment spouse
8633,special assisting form,used for,calculation AV
8634,form,contains,operating AV 9/22
8635,it,notice,which
8638,relevant  regulations,communicated to,taxpayer
8639,provisional loss reason,stated,provisional  nature
8640,provisional tax scope,defined,provisional  tax
8641,provisional sub effect,applies,which
8643,taxpayer,apply for,responsible tax office
8644,yet bargaining income,is,M assessment period
8645,compensation payments,calculated,annual profit declaration
8646,1990 income limit,reduced pro,pro rata temporis
8648,free compensation payments,applied for,first wage policy 1990
8649,realized,determined,half  year
8650,second  taxpayers,assumed,free  prices
8653,Compensation payments,DMNo,M assessment compensation
8654,M income limit,exceeded,2  StÄG
8655,collective bargaining that,increases,set  prices
8658,first currency conversion,stated,account
8659,only  profit,granted,M  DM
8660,company,given,October
8661,M assessment profit,is less,M assessment DM
8662,compensation payment,granted after,initial  examination
8663,1990 income limit,existed,1990 compensation 1990
8664,set  prices,existed for,only 31 10 1990
8665,compensation payment,granted,M  DM
8666,State set prices,existed for,first  1990
8669,5000 assessment M,increase in,6000  DM
8673,3000  DM,requested,6000  DM
8674,annual income tax forms,sent for,social security contributions
8675,tax office,had,only V lists
8676,completed  forms,returned,social  security
8678,annual insurance tax,forwarded to,tax file
8690,321  Taxation,supplies in,new sales tax
8700,812 Sales tax forms,sentence,3 tax Section
8701,They,may,consent
8702,tax they,are equivalent,tax review
8703,subject tax approval,are equivalent,tax office
8704,only sales tax,S.,differently VAT declaration
8706,following VAT assessment,issued,only  VAT
8707,registration procedure results,matter,3 input tax surpluses
8708,VAT taxpayer,receives,settlement notification
8709,account statement,printed,027
8710,4 sales tax,is,respective lead assessment
8711,reimbursement claims,is,approval
8712,review,is necessary,significant VAT VAT
8715,rough  comparison,derived from,attached monitoring sheet USt
8719,possible input tax,determined,second income 1990
8721,respective company type,used,taxation
8722,agreed target following,stated,agreed target remuneration
8726,that,Income,VAT
8727,actual Annex remuneration,Income according,1990 6 account
8731,income,subject to,VAT
8732,information,checked,self consumption
8734,155  UStR,made to,VAT declaration
8735,reference rate South,valued at,70  %
8736,50  %,taken into,various kinds fruit
8737,entrepreneurial  object,area of,1  UStG
8739,also assessment they,(,tax deduction
8741,telephone which,is subject,1  1
8742,when input tax it,UStR,differently input tax deduction
8745,6 GeneralThe assessment orders,are,vertical  lines
8746,1981 Federal Tax I,p,27 Section 13a March
8747,set  areas,pointed,public funding account
8749,4 Section EStG,is decisive,Section 13a
8750,long  they,i,§ §
8751,1  BewG,made,22  Paragraph
8752,Something,.,only Section 13a
8756,average  number,EStG,sustainably Section 13a
8757,term reference,made to,Section
8758,therefore  number,EStG over,financial Section years
8759,3 Section EStG,met from,financial  year
8760,other animal population,increased,one  go
8761,maximum  limits,apply from,first  time
8762,1 Section EStG,found in,Annex
8763,foreign animal animals,taken into,1989 II p
8765,to 8 EStG,results from,3 L 13a
8766,2 Section EStR,observed,basic Section 13a
8767,business,BewG,paid  workers
8768,Section EStG,added to,basic  amount
8770,initial 13a Paragraph,applicable,individual  case
8771,paid  workers,EStG,full time 13a
8772,well term who,applies to temporary,ordering
8774,insofar  what,is necessary,1988 BFH BStBl
8777,activities,work,special  uses
8778,business relatives,applicable,business
8780,also labor that,serve as,special  uses
8783,3 7 VB,St,2  ruling
8784,2223 Lease Interest Reference,EStR,Section 13a
8785,rent,includes,also ground rent
8786,insofar  it,compensated by,initial  value
8787,224 EStG Reference,EStR,Section 13a
8788,that,are,initial  value
8789,2242 wage that,judgment of,1990 II p
8791,company  which,.,Section 13a
8792,reference,.,ESt
8793,Stpfl,EStG,operating  income
8796,following trout pond guidelines,serve as,guide
8797,application,p,12 1965 BStBl
8800,extraordinary breeding income,EStG,13a Paragraph
8801,Extraordinary  income,DM,individual sales tax
8802,selling price,amount by,7500  DM
