,sentence
9524,46 draw attention to the principles outlined
9525,"In particular, that in each individual case, immediately after the fact of the sale becomes known and before the corresponding assessment is carried out, if necessary"
9526,with the addition of the tax files and the standard value files of the regional finance directorate
9527,"In principle, this also applies if the proceeds from the sale (incl"
9528,of the standing wood) for the forest parcel does not exceed the book value of the land
9529,In the case of such a sale of well-stocked land for which the starting amount of 2-- DM / sqm (§ 55 Paragraph 1 in conjunction with
9530,V with paragraph 2 no
9531,"2 EStG), there is usually a loss - which is not deductible according to Section 55 (6) EStG - from the sale of the land (the value of the land with forestry use in Rhineland-Palatinate only exceptionally exceeds DM 050 / sqm) and a - taxable - profit with regard to the standing wood"
9532,Accounting income tax / wage tax / church tax procedural law / tax code Rhineland-Palatinate agriculture
9533,Oberfinanzdirektion Münster S-2225a - 165 - St 12 - 31 S-2225aEStG: 10eEStG: 10e / 1EStG: 10e / 2EStG: 10e / 4EStG: 10e / 5aEStG: 10e / 6EStG: 10e / 6aEStG: 7EStG: 7 / 5EStG: 7 / : 7 / 5aEStG: 7bEStG: 10EStG: 10bEStG: 10dEStG: 21aEStG: 34fEStG: 52 / 21EStDV: 82bEStDV: 82hEStDV: 82kEStR: 43EStR: 44EStR: 54EStR: 157AO / 1: 312 / 2AO: 165AO: 39 / 2AO: 165 : 17BGB: 812BGB: 951BdF IV b 3 - S-2225a - 115/90 v
9534,25 10 1990 BStBl 1990 I 626 (coord
9535,"State decree) Questions of doubt about the application of the Home Ownership Promotion Act of 15 5 1986 (BStBl I page 278) Reference: Circular decrees of 18 11 1988 (ESt-Nr: 59/1988), 27 6 1989 (ESt-Nr: 54/1989) and 7 9 1987 (ESt-Nr 68/1987) S-2225a - 154 - St 16 - 31I Acquisition / construction of an apartment used for own residential purposes on a heritable building plotII Buildings on third-party land: III Apartment in one's own house - decisive point in timeIV Extensions and extensionsV Subsequent production costs in the case of partially paid acquisition VI Subsequent propertyVII § 10e EStG for owner associationsVIII § 10e Para 6 EStGIX Debt interest deduction according to § 10e Para 6 a EStGX Depreciation in cases of mixed or"
9536,Changed useXI Waiver of the value-in-use taxationXII Equity measuresXIII Tax treatment of building society savings interest
9537,Order of 18 11 1988 revised and updated
9538,The orders of 18 11 1988 27 6 1989 and 7 9 1987 are hereby repealed
9539,I would ask you to include a corresponding note in the procurement instructions
9540,The general regulations on No.
9541,"I ""Acquisition or manufacturing costs i"
9542,"§ 10e EStG ""does not apply, as corresponding instructions are contained in the BMF letter of 25 October 1990 (BStBl 1990 I page 626 Appendix 19 to the manual edition of the ESt 1990; hereinafter: BMF letter) and in the ESt guidelines 1990 (hereinafter: EStR)"
9543,"I Acquisition / construction of an apartment used for own residential purposes on a heritable building plot of land Leasehold interest, which the person entitled to leasehold pays to the property owner for the continued use of the heritable building plot, can be deducted as special expenses up to the beginning of the first use of the apartment in accordance with Section 10e (6) EStG, insofar as they are to the time before the start of first use (Sect. 52 i"
9544,Section 50 of the BMF letter)
9545,Ground rent that is paid for periods of time after moving into the apartment can only be taken into account for tax purposes within the framework of Section 10e (6a) of the Income Tax Act
9546,A deduction as a permanent burden i
9547,§ 10 Paragraph 1 No. 1 a EStG is ruled out (BFH judgment of 24 10 1990 BStBl 1991 II page 175)
9548,"The development costs accepted by a leaseholder as agreed and paid before the apartment is used for the first time can be deducted in full as special expenses in accordance with Section 10e (6) EStG, if the legally effective conclusion of the leasehold contract or the contract aimed at the transfer of a leasehold right before the 1st 1992 lies (BMF letter of 16 12 1991 BStBl I page 1011)"
9549,"If, in these old cases, the leaseholder has only paid the development costs after moving into the owner-occupied apartment or if the corresponding leasehold contract or the contract for the transfer of a leasehold was concluded after December 31, 1991, these can only be taken into account for tax purposes in accordance with Section 10e (6) EStG, than they are attributable to the period before self-use begins (see re 3)"
9550,The acquisition costs for a heritable building right cannot be taken into account within the framework of Section 10e Paragraph 2 and Paragraph 2 EStG
9551,"In particular, they are not to be included in the assessment basis according to Section 10e, Paragraph 1, since the legislature has expressly only favored half of the acquisition costs for the land"
9552,The expenses of a leaseholder for the acquisition of the leasehold can therefore not be equated with the acquisition costs of a property owner for the land
9553,The assessment base according to § 10e EStG does not include the capitalized value of the ground rent
9554,"The acquisition costs for the heritable building right can be taken into account in accordance with Section 10e, Paragraph 6 of the Income Tax Act (Section 52 of the BMF letter), provided they are attributable to the time before moving into the apartment."
